site_index,English_Quote,Persian_Quote,Prise_Writer
36276,"Part mystery, part study of the human heart.",هم یک داستان معمایی و هم کاوشی درباره دل انسان.,Booklist
36276,A big-hearted adventure about coming home.,یک ماجراجویی پراحساس درباره رفتن به خانه.,Publishers Weekly
347,This haunting fable explores the power and limitations of art.,این داستان به یاد ماندنی به کاوش در قدرت و محدودیت های هنر می پردازد.,Washington Post
347,Genuinely affecting.,با تأثیری بدیع.,New York Times
347,Jones's prose is faultless.,نثر جونز، بی نقص است.,Publishers Weekly
11902,A multifaceted story that skillfully blends light and dark elements.,داستانی چندوجهی که به شکلی ماهرانه، عناصر تاریک و روشن را در هم می آمیزد.,Publishers Weekly
11902,This novel explores the past's repercussions on the present.,این رمان به کاوش در تأثیرات گذشته بر زمان حال می پردازد.,Kirkus Reviews
11902,A rich story about family and courage.,داستانی غنی درباره ی خانواده و شجاعت.,School Library Journal
1771,"A masterful work of loyalty, necessity, and dreams.",اثری استادانه درباره ی وفاداری، ضرورت و رویاها.,Publishers Weekly
1771,The exhilarating finale to the dystopian Legend trilogy.,پایان هیجان انگیز سه گانه ی پادآرمان شهری «افسانه».,Kirkus Reviews
1771,With heart-pounding action and suspense.,با حوادث و تعلیقی نفسگیر.,Penguin Random House
2475,I think this is an incredible book for anyone who is hoping to create better relationships in the workplace.,به نظرم این اثر، کتابی شگفت انگیز برای هر کسی است که امید دارد روابط بهتری را در محل کار بسازد.,"Rachel Hollis, New York Times bestselling author"
2475,It will help you be a better leader and create a more effective organization.,این اثر به شما کمک می کند رهبر بهتری باشید و سازمان کارآمدتری خلق کنید.,"Sheryl Sandberg, New York Times bestselling author"
2475,"If you manage people—whether it be 1 person or a 1,000—you need RADICAL CANDOR. Now.",اگر افرادی را مدیریت می کنید، چه یک نفر و چه هزار نفر، به کتاب «رک و راست باشید» نیاز دارید. همین حالا.,"Daniel Pink, New York Times bestselling author"
796,Entertaining stories of insightful Sufi wisdom.,داستان هایی سرگرم کننده از خرد روشنگرانه ی صوفی.,Goodreads
796,"Rumi is the greatest mystic poet to have written in Persian, and the Masnavi is his masterpiece.",مولوی، بزرگترین شاعر عرفانی پارسی گوی است و مثنوی، شاهکار اوست.,Barnes & Noble
796,One of the best known and most influential works of both Sufism and Persian literature.,یکی از شناخته شده ترین و تأثیرگذارترین آثار در صوفی گری و ادبیات ایران.,Amazon
8520,"This is a comprehensive and intelligent success achievement program for setting and following through with personal and professional goals by the California behaviorist who popularized the method of ""neurolinguistic programming"" (NLP), or control of mind over body","این یک برنامه جامع و هوشمندانه موفقیت است که برای دستیابی به اهداف شخصی و حرفه ای رفتارگرای کالیفرنیا که روش ""برنامه نویسی عصبی"" (NLP) یا کنترل ذهن بر بدن را رایج کرده است ، در تنظیم اهداف پیروزی و شخصی قرار می گیرد.",amazon
8520,Robbins argues that by using a new technique called neurolinguistic programming (NLP) anyone can become successful at almost anything.,رابینز استدلال می کند که با استفاده از تکنیک جدیدی به نام برنامه نویسی عصبی (NLP) ، هر کسی می تواند تقریبا در هر چیزی موفق شود.,amazon
1385,A spine-chiller from the master of horror.,اثری دلهره آور از استاد وحشت.,Google Books
1385,By one of the greatest writers of tales of horror.,اثر یکی از بزرگترین نویسندگان داستان های وحشت.,Prezi
1385,Well-written and engaging.,جذاب و با نثری عالی.,Tor
17015,"A masterful tale of ambition, jealousy, and superpowers.",داستانی استادانه درباره ی بلندپروازی، حسادت و ابرقدرت ها.,Barnes & Noble
17015,"Schwab's tale of betrayal, self-hatred, and survival will resonate with superhero fans.",داستان «شواب» درباره ی خیانت، نفرت از خویشتن و بقا، با طرفداران ابرقهرمان ها ارتباط برقرار خواهد کرد.,Publishers Weekly
17015,Utterly brilliant.,فوق العاده درخشان.,Booktopia
10606,"Susan Sontag is a powerful thinker, as smart as she's supposed to be, and a better writer, sentence for sentence, than anyone who now wears the tag 'intellectual.","سوزان سونتاگ یک اندیشمند قدرتمند است ، به همان اندازه که متفکر هست، هوشمند نیز هست و بیش از دیگر نویسندگان لایق یدک کشیدن لقب ""روشنفکر"" را دارد.",The New York
10606,“[Sontag is] one of our very few brand-name intellectuals. . .the bearer of the standard of high seriousness in a culture that has essentially capitulated to the easy lifting of the ironic mode or the ready clasp of pure entertainment.,سونتاگ یکی از معدود روشنفکران مشهور ما است. نماد جدی بودن در فرهنگی است که اساسا با جدی بودن میتنه ای ندارد.,The Yale
3333,"[Gaiman] is, simply put, a treasure house of story, and we are lucky to have him in any medium.",گیمن به عبارت ساده یک خانه پر از داستان است و ما خوش شانس هستیم که او را داریم.,Stephen King
3333,An exhilarating display of the work of one of our most entertaining storytellers.,یک صفحه نمایش هیجان انگیز از یکی از سرگرم کننده ترین قصه گوها.,Kirkus Reviews
3333,A box of bonbons for dark fantasy fans.,یک جعبه پر از آبنبات برای طرفداران فانتزی تاریک.,Booklist
53,Rich and beautifully nuanced scenes follow one upon the other . . . [a] gargantuan accomplishment.,صحنه های متنوع و غنی، یکی پس از دیگری ظاهر می شوند... موفقیتی عظیم.,Publishers Weekly
53,"Cunningham's emulation of such a revered writer as Woolf is courageous, and this is his most mature and masterful work.",بازسازی کانینگهام از نویسنده ای تحسین شده مانند وولف بسیار شجاعانه است، و این کامل ترین و ماهرانه ترین اثر اوست.,Washington Post Book World
53,"An exquisitely written, kaleidoscopic work that anchors a floating postmodern world on caissons of love, grief and transcendent longing.",نوشته ای بدیع و ملون که دنیای شناور پسا مدرن را بر لنگرگاه عشق، اندوه و اشتیاقی والا قرار می دهد.,Los Angeles Times Book
14047,you can tell that this play would be breathtaking on stage,می توان تشخیص داد که این نمایشنامه بر روی صحنه نفسگیر خواهد بود.,Amazon
16196,The inspirational bestseller that ignited a movement.,کتاب پرفروش الهام بخشی که یک جنبش را به وجود آورد.,Barnes & Noble
16196,A clear vision of what it truly takes to lead and inspire.,تصویری شفاف از این که رهبری و الهام بخشی واقعا مستلزم چه چیزهایی است.,Amazon
16196,For anyone who wants to inspire others.,برای هر کسی که می خواهد برای دیگران الهام بخش باشد.,Booktopia
1894,An unforgettable journey through the underbelly of world-shattering events.,سفری فراموش نشدنی در پشت پرده ی رویدادهای تحول آمیز در جهان.,Amazon
1894,A book immediately hailed as Eco's masterpiece.,کتابی که بلافاصله به عنوان شاهکار اکو مورد تحسین قرار گرفت.,Goodreads
1894,A well-executed thriller... provocative and suspenseful.,تریلری خوش ساخت... برانگیزاننده و پرتعلیق.,USA Today
499,It is outrageously funny and strangely affecting. It is totally original.,بسیار طنزآمیز و به شکل عجیبی تأثیرگذار. اثری کاملا بدیع.,Barnes & Noble
499,"Explosive, compelling, subversive, brilliant.",سوزان، هیجان انگیز، منقلب کننده و درخشان.,New Republic
499,"To my mind, there have been two great American novels in the past fifty years. Catch-22 is one.",در ذهن من، دو رمان برتر آمریکایی در پنجاه سال گذشته وجود داشته است. یکی از آن ها، تبصره ی 22 است.,Stephen King
823,One of the most popular novels of all time.,یکی از محبوب ترین رمان های تمامی اعصار.,Goodreads
823,A cornerstone of Jane Austen's reputation as one of the greatest novelists of all time.,یکی از سنگ بناهای شهرت جین آستین به عنوان یکی از برترین رمان نویسان تاریخ.,Barnes & Noble
823,No novel in English has given more pleasure than Pride and Prejudice.,هیچ رمانی در زبان انگلیسی، به اندازه ی غرور و تعصب، لذت بخش نبوده است.,Penguin
18468,"One of the most salient early works of the century is Georg Lukacs, Soul and Form",یکی از برجسته ترین آثار اولیه قرن جورج لوکاچ، جان و صورت است.,H Net Reviews
18468,"The first theorist to make a significant advance on Marx' s theory of ideology while remaining true to the dialectical approach of Marx himself was the Hungarian Communist leader, theoretician and literary critic Georg Luka cs.",اولین نظریه پردازی که پیشرفت چشمگیری در نظریه ایدئولوژی مارکس داشت و در عین حال به رویکرد دیالکتیکی خود مارکس وفادار ماند، رهبر کمونیست مجارستانی، نظریه پرداز و منتقد ادبی، جورج لوکاچ بود.,David Hawkes
50544,"Delicate, funny, offbeat, and subtle.",دلنشین، خنده دار، نامرسوم، و پرظرافت.,Publishers Weekly
50544,A heartfelt tale of new love brightening the dark aftermath of loss.,داستانی پراحساس درباره عشقی جدید که دوران تاریک پس از فقدان را روشن می سازد.,Barnes & Noble
50544,"Immensely likeable, unexpectedly compelling.",فوق العاده دوست داشتنی، به شکل غیرمنتظره ای جذاب.,Irish Times
52493,A gripping conclusion to the series. Highly recommended.,پایانی گیرا بر این مجموعه. به شدت توصیه می شود.,School Library Journal
52493,Readers will want to be here to see how it ends.,مخاطبین باید اینجا باشند و ببینند که داستان چگونه به پایان می رسد.,Booklist
52493,Stellar.,درخشان.,Publishers Weekly
30169,Ambitious,بلند پروازانه,Guardian
30169,"Her book weaves together elements of history, philosophy, and human psychology in evaluating of the role fear in contemporary politics—and its dangers",کتاب او در ارزیابی نقش ترس در سیاست معاصر - و خطرات آن ، عناصری از تاریخ ، فلسفه و روانشناسی انسان را بهم می پیوندد.,Chicago Magazine
30169,"It feels like there’s been nothing but talk of division in our country since at least 2016, but many of us can’t pinpoint how it began. Martha C. Nussbaum attempts to do just that in The Monarchy of Fear","به نظر می رسد که حداقل از سال 2016 در کشور ما چیزی در مورد اختلاف نظر وجود نداشته است ، اما بسیاری از ما نمی توانیم نحوه شروع آن را مشخص کنیم. مارتا سی. نوسبام تلاش می کند تا این کار را در ""سلطنت ترس"" انجام دهد",Bustle
26675,"This book made me angry. It made me angry because there are so many people in this country who need to read it, who should read it, who will benefit enormously from reading it . . . and won't. They'll watch a reality show on TV instead. If everyone made decisions like Ken Watanabe, the world would be a better place.",این کتاب مرا عصبانی کرد. چیزی که باعث عصبانیت من شد این بود که افراد زیادی در این کشور نیاز به خواندن آن دارند، که باید آن را بخوانند و از خواندن آن بسیار بهره مند خواهند شد...و آن ها این کار را نخواهد کرد. آنها در عوض به تماشای یک نمایش تلویزیونی می نشیند. اگر همه مانند کن واتانابه تصمیم گیری می کردند، جهان جای بهتری می شد.,"SETH GODIN, author of Tribes"
26675,This is an excellent primer on problem solving.,این یک آغازگر عالی برای حل مشکلات است.,"LOWELL BRYAN, author of Mobilizing Minds"
45338,"Before you know it, the stories in the book become magic carpets, taking you into your own forgotten landscapes where memories are lessons that can teach you how to live a more meaningful and fearless life.",قبل از اینکه متوجه شوید، داستان های کتاب به فرش های جادویی تبدیل می شوند و شما را به مناظر فراموش شده خودتان می برند، جایی که خاطرات درس هایی هستند که می توانند به شما بیاموزند که چگونه زندگی معنادارتر و بی باکی داشته باشید.,Elizabeth Lesser
45338,"Brian Weiss reminds us that: ‘We are a soul that comes with a body - not a body that comes with a soul.’ Miracles Happen helps to educate, enlighten, and show you that we are all spiritual beings with unlimited potential!",برایان وایس به ما یادآوری می کند که: «ما روحی هستیم که با بدن می آید - نه جسمی که با روح می آید.» معجزه وجود دارد به آموزش، روشنگری و نشان دادن این که همه ما موجوداتی روحانی با پتانسیل نامحدود هستیم می پردازد.,John Holland
55394,"A poignant, powerful story of two women.",داستانی گزنده و قدرتمند درباره ی دو زن.,Barnes & Noble
55394,A moving and realistic portrait of a complex and enduring friendship.,تصویری تکان دهنده و واقع گرایانه از یک دوستی پیچیده و ماندگار.,Booklist
55394,Sure to please the author's many fans.,اثری که بدون تردید، طرفداران پرشمار نویسنده را راضی خواهد کرد.,Library Journal
10564,"Self-deprecating humor, an enthusiasm for human eccentricities, and an affable and snappy style make this read an enriching and eye-opening pleasure.",طنز فروتنانه، اشتیاقی برای جنبه های عجیب و غریب انسان بودن، و سبکی دوست داشتنی و شیک باعث می شود که مطالعه ی این اثر، با لذتی غنی و آگاهی بخش همراه باشد.,Publishers Weekly
10564,"Thought-provoking, entertaining, and smart: a winning combination.",تفکر برانگیز ، سرگرم کننده و هوشمندانه: ترکیبی برنده.,Booklist
834,"Provocative, eye-opening, and surprisingly funny.",تفکربرانگیز، روشن گرانه و به شکل غافلگیرکننده ای بامزه.,Goodreads
834,Fun to read and solidly researched.,اثری خواندنی و به دقت تحقیق شده.,Publishers Weekly
834,A clever take on contemporary culture.,پرداختی هوشمندانه به فرهنگ معاصر.,School Library Journal
13411,A prescription for those striving to overcome challenges and realize their aspirations.,نسخه ای برای افرادی که برای غلبه بر چالش ها و محقق ساختن آرزوهایشان در تقلا هستند.,Library Journal
13411,"If you only read one book this year, make it this one!",اگر امسال فقط یک کتاب می خوانید، این کتاب را انتخاب کنید!,Inc. Magazine
13411,An immensely practical and useful book.,کتابی فوق العاده کاربردی و مفید.,Forbes
12783,It will delight horror fans.,این اثر، طرفداران داستان های وحشت را به وجد خواهد آورد.,Publishers Weekly
12783,"A richly atmospheric, genuinely scary tale.",داستانی واقعا ترسناک با اتمسفری غنی.,Kirkus Reviews
12783,Impossible to put down.,اثری که کنار گذاشتن آن، غیرممکن است.,School Library Journal
14143,"An extraordinary book about ordinary crime, written with suspense, insight, and beautiful precision by an experienced defense attorney. An authentic thriller.",کتاب خارق العاده ای درباره جرم ، با تعلیق ، بینش و دقت بسیار عالی توسط یک وکیل مدافع باتجربه نوشته شده است.,"Bernhard Schlink, author of The Reader"
14143,"Mesmerizing. . .a slim, utterly absorbing collection of 11 stories. . .told in a cool, patient voice that draws the reader in. Von Schirach guides us through the unpredictable sequences of events that can maneuver regular, flawed people into unbearable positions, leading them to abhorrent acts. . .[He] has the talent to dazzle.",فریبنده. . یک مجموعه کاملا جذاب از 11 داستان. . فون شیراخ ما را با دنباله های غیرقابل پیش بینی از رویدادهایی راهنمایی می کند که می توانند افراد را در موقعیت های غیرقابل تحمل قراردهند ، و آنها را به سمت اعمال ناعادلانه سوق می دهند. . . او استعداد خیره کننده دارد.,New York Times
23324,"Bondanella's excellent addition to the 'Cambridge Film Classics' series provides an overview of the work of the originator of Italian neorealism....There is a real depth to Bondanella's analysis of Rossellini's ideology and to his discussion of innvovations in cinematic technique such as the 'Pancinor zoom.' Chronology, filmology, and bibliography as well as invaluable notes. An excellent introduction to Rossellini for undergraduate students of film, and the more advanced student or scholar should also benefit from the current bibliography and from some of the insightful analyses.","اضافه شدن بوندانلا به مجموعه"" فیلم های کلاسیک کمبریج "" بسیار خوب بود و فرصت مروری بر آثار مبتکر نئورئالیسم ایتالیا را فراهم می کند ... در تحلیل بوندانلا از ایدئولوژی روسلینی و بحث او در مورد نوآوری ها در تکنیک سینمایی ، عمق واقعی وجود دارد که به مانند بزرگنمایی پانکیور است. گاه نگاری ، فیلم شناسی و کتابشناسی و همچنین یادداشت های بسیار ارزشمند. مقدمه ای عالی برای معرفی روسلینی به دانشجویان مقطع کارشناسی سینما ، دانشجویان پیشرفته تر نیز باید از کتابشناسی فعلی و برخی از تحلیل های بصیرت آمیز بهره مند شوند.",Choice
259,Terrifically compelling.,بسیار هیجان انگیز.,Boston Globe
259,Wonderfully ingenious and altogether satisfying.,به شکل شگفت انگیزی هوشمندانه و در مجموع رضایت بخش.,New York Times Book Review
259,"A smart, complex mystery.",یک داستان معمایی هوشمندانه و پیچیده.,Shelf Awareness
4619,"Montesquieu, Voltaire, Addison, Johnson and Goethe were among the 18th-century writers whose work was heavily influenced by the Nights. The Nights had a crucial role in shaping the origins and evolution not just of fantasy literature, but also of the realistic novel.",مونتسکیو ، ولتر ، آدیسون ، جانسون و گوته از جمله نویسندگان قرن 18 بودند که اثرشان به شدت تحت تأثیر این کتاب قرار گرفت. این کتاب نقش اساسی در شکل دادن به خاستگاه ها و تکامل نه تنها ادبیات فانتزی ، بلکه رمان واقع گرایانه نیز داشت.,the guardian
465,Sterne was the greatest impressionist of his time.,استرن، بزرگترین امپرسیونیست زمانه اش بود.,Joseph Conrad
465,The most hilarious ride one can hope for in the world of English literature.,خنده دارترین و مفرح ترین سفری که می توان در دنیای ادبیات انگلیسی داشت.,Reading Design
465,It caused delight and consternation when it first appeared and has lost little of its original bite.,این اثر در زمان اولین انتشار، باعث بحت و حیرت مخاطبین شد و گزندگی همان زمان را حفظ کرده است.,guardian
84869,Fans of Station Eleven will particularly enjoy this story.,طرفداران کتاب «ایستگاه یازده» به شکل ویژه از این داستان لذت خواهند برد.,Publishers Weekly
84869,A moving story about adaptation and the power of community.,داستانی تکان دهنده درباره تلاش برای سازگاری و قدرت اجتماع.,Barnes & Noble
84869,Filled with luminous writing and messages of love and hope.,با نثری درخشان و سرشار از پیام های عشق و امید.,Library Journal
1651,It invites us to question ourselves about the true nature of love.,این اثر ما را دعوت می کند تا درباره ی ماهیت حقیقی عشق از خودمان سوال بپرسیم.,Book Node
1651,With memorable and moving dialogues.,با گفت و گوهایی به یاد ماندنی و تکان دهنده.,Visit Monaco
36108,An absorbing read,یک خوانش جذاب,Wired
13379,[An] entertaining story about magical powers gone humorously awry.,یک داستان سرگرم کننده در مورد قدرتهای جادویی که به طنز آغشته اند.,Publishers Weekly
13379,"The inventive tale is filled with a deftly balanced mixture of otherwordly effects, humor, and action. . . . Appealing, warmhearted, and magical.",داستان خلاقانه با ترکیبی ماهرانه و متعادل از جلوه ها و شوخ طبعی ها. . . . جذاب ، دلچسب و جادویی.,Kirkus
1653,A universal story of a boy torn between duty and his own survival.,داستان جهانی پسری گرفتار میان وظیفه و بقای خود.,Goodreads
1653,"Outstanding. Every page is alive and surprising, proof of Sharma’s unique talent.",خارق العاده. هر صفحه زنده، غافلگیرکننده و گواهی بر استعداد منحصر به فرد شارما است.,David Sedaris
1653,A brilliant and quietly moving novel.,رمانی درخشان و بسیار تکان دهنده.,The Huffington Post
373,"The whole work is seamless, compelling, and memorable.",در مجموع، اثری بی نقص، هیجان انگیز و به یاد ماندنی.,Horn Book
373,Readers come to understand the true meaning of bravery.,مخاطبین ]با خواندن این اثر[، معنای واقعی شجاعت را خواهند فهمید.,School Library Journal
373,An unforgettable work of fiction.,یک اثر داستانی فراموش نشدنی.,Publishers Weekly
1334,By the greatest poet and novelist of our age.,اثری نوشته ی بزرگترین شاعر و رمان نویس عصر ما.,"John Cowper Powys, British novelist"
1334,Hardy's masterpiece.,شاهکار هاردی.,Amazon
1334,Hardy’s artistic achievement.,دستاورد هنری هاردی.,Penguin Random House
30726,"Dawson and Guare, masters of executive skills, have provided a user-friendly, practical, and immensely valuable guide.",داوسون و گوئر ، استادان مهارتهای اجرایی ، راهنمای کاربر پسند ، عملی و بسیار ارزشمندی ارائه داده اند.,Edward M. Hallowell
30726,This is a terrific self-help book--one of the best I’ve seen--for helping individuals develop their executive skills.,این یک کتاب عالی برای کمک به خود - یکی از بهترین کتاب هایی که من دیده ام - برای کمک به افراد در توسعه مهارت های اجرایی است.,Mary V. Solanto
11786,Klein's sharp analysis makes a compelling case that a mass awakening is part of the answer.,تجزیه و تحلیل های دقیق کلاین، اثری متقاعد کننده دارد که بیداری دسته جمعی بخشی از پاسخ به آن است.,Chicago Tribune
11786,"Klein is a brave and passionate writer who always deserves to be heard, and this is a powerful and urgent book.",کلاین نویسنده ای شجاع و پرشور بوده که همیشه شایسته ی توجه است و این یک کتاب قدرتمند و ضروری می باشد.,Observer
11786,"[A]robust new polemic. . . . Drawing on an impressive volume of research, Ms. Klein savages the idea that we will be saved by new technologies or by an incremental shift away from fossil fuels: Both approaches, she argues, are forms of denial. . . . Ms. Klein is aware of the intractability of the problems she describes, but she manages optimism nonetheless.",جدالی قدرتمند و جدید...این اثر که بر پایه ی حجم چشمگیری از پژوهش های خانم کلاین منتشر شده، بیان می دارد که فکر نجات یافتن به وسیله ی تکنولوژی های جدید یا تغییر تدریجی و فاصله گرفن از سوخت های فسیلی، هر دو شکل های مختلفی از انکار هستند...خانم کلاین به خوبی از دشوار بودن مشکلاتی که آن ها را توصیف کرده آگاه است، اما خوش بینی خود را حفظ می کند.,New York Times
11786,The most momentous and contentious environmental book since Silent Spring,مهمترین و بحث انگیزترین کتاب درباره ی محیط زیست از زمان بهار خاموش.,New York Times Book Review
11786,This may be the first truly honest book ever written about climate change.,این ممکن است اولین کتاب صادقانه ای باشد که در مورد تغییرات اقلیمی نوشته شده است.,Time
22581,Rowling impressively sustains suspense over the course of a lengthy mystery.,«رولینگ» به شکلی شایان توجه، تعلیق را در طول این داستان معمایی بلند حفظ می کند.,Publishers Weekly
22581,Rowling's wizardry as a writer is on fulsome display in Lethal White.,جادوی «رولینگ» به عنوان نویسنده در کتاب «سفیدی مرگبار» به شکلی کامل به نمایش گذاشته می شود.,USA Today
22581,"Addictive, murderous fun.",یک سرگرمی اعتیادآور و مرگبار.,Vox
1882,A timely and important book.,کتابی مهم و مرتبط با زمانه.,Penguin Random House
1882,With thought-provoking ideas about relationships—with others and with oneself.,با ایده هایی تفکربرانگیز درباره ی روابط-با دیگران و با خویشتن.,Publishers Weekly
1882,It empowers us each to be a little more courageous.,این کتاب به ما نیرو می بخشد تا اندکی شجاع تر باشیم.,The Huffington Post
1745,Some of the most terrifying stories of the twentieth century.,برخی از ترسناک ترین داستان های قرن بیستم.,Barnes & Noble
1745,Unique and absolutely original.,منحصر به فرد و فوق العاده بدیع.,Newsweek
1745,Shirley Jackson was an amazing writer.,شرلی جکسون، نویسنده ای شگفت انگیز بود.,Neil Gaiman
19728,A work of stunning frankness about losing a daughter.,اثری با بی پردگی خیره کننده، درباره ی از دست دادن یک دختر.,Barnes & Noble
19728,A beautiful condolence note to humanity about some of the painful realities of the human condition.,تسلیت نامه ای زیبا به انسانیت، درباره ی برخی از واقعیت های دردناک زندگی انسان.,Washington Post
19728,A searing inquiry into loss and a melancholy mediation on mortality and time.,پژوهشی پرالتهاب درباره ی فقدان، و تأملی مالیخولیایی بر فناپذیری و زمان.,New York Times
1174,With first-rate examples of Woolf's influential techniques.,با نمونه هایی درجه یک از تکنیک های تأثیرگذار وولف.,Barnes & Noble
1174,Remarkable.,شایان توجه.,Guardian
1174,Amazing... A new type of fiction has swum into view.,شگفت انگیز... گونه ای جدید از داستان پا به عرصه ی وجود گذاشته است.,E.M. Forster
1994,Profound... A guidebook for living.,ژرف... راهنمایی برای زندگی.,Orlando Sentinel
1994,The Alchemist for the 21st Century.,کتاب «کیمیاگر» برای قرن بیست و یکم.,RBA Libros
1994,"Once you get into this book, you won't want to put it down.",به محض این که وارد دنیای این کتاب شوید، نمی خواهید که آن را کنار بگذارید.,Midwest Book Review
16067,"Quantum Healing didn’t set out to cure cancer or Alzheimer’s or any other intractable disease. It set out to see the human body, and human existence in general, through wiser eyes. As a scientist I’m passionate about genes and the brain; as a person I’m totally fascinated by the origins of consciousness. Quantum Healing galvanized my intuition that these areas do not have to be separated.",کتاب شفای کوانتمی برای معالجه ی سرطان یا آلزایمر یا بیماری های غیرقابل پیشگیری دیگر نیست. قرار است بدن انسان و به طور کلی وجود انسان را با چشمان خردمندتر ببیند. من به عنوان یک دانشمند به ژن ها و مغز علاقه مندم؛ من به عنوان یک شخص، کاملا مجذوب خاستگاه آگاهی هستم. کتاب توجه من را به این مسئله جلب کرد که مجبور به جدا کردن این مطالب نیستم.,"Dr. Rudolph Tanzi, from the new foreword"
16067,"Deepak Chopra illuminates our true innate capacity for healing, growth, and evolution. With the wisdom of an experienced doctor, girded by science, he guides us to reclaim our natural power towards thriving. Chopra’s work is paradigm-changing for medicine and helpful beyond measure for every human being seeking to evolve, flourish, and know our true nature.",دکتر دیپاک چوپرا ظرفیت ذاتی واقعی ما را برای بهبود ، رشد و تکامل روشن می کند. او با درایت یک پزشک باتجربه که با علم پشتیبانی شده، ما را راهنمایی می کند تا از قدرت طبیعی خود برای پیشرفت برخوردار شویم. کارهای چوپرا در پزشکی تحول آفرین است و برای هر انسانی که به دنبال تکامل ، شکوفایی و شناخت ماهیت واقعی خویش است، ماورای اندازه گیری می باشد.,"Lisa Miller, Ph.D., author of The Spiritual Child and director of clinical psychology, Teachers College, Columbia University"
43043,People are telling Tannen that the book is saving their marriages.,مردم به تانن می گویند که این کتاب ناجی ازدواج هایشان بوده است.,Washington Post
43043,"A chatty, earnest and endearing book that promises here–and–now rewards.",کتابی سرشار از حرف های جدی و دوست داشتنی که نوید پاداش های لحظه ای می دهد.,Los Angeles Times
43043,[A] refreshing and readable account of the complexities of communication between men and women.,روایتی تازه و خواندنی از پیچیدگی های ارتباط بین زن و مرد.,New York Times Book Review
43043,Utterly fascinating. . . . A classic in the field.,کاملا گیرا. . . . اثری کلاسیک در این زمینه.,San Francisco Chronicle
84471,A thrilling novel about young woman caught up in a dangerous double life.,رمانی مهیج درباره زنی جوان که در یک زندگی دوگانه خطرناک گیر افتاده است.,Barnes & Noble
84471,"It follows Alex’s extraordinary adventures in World War II and afterward in India, Pakistan, Morocco, Hong Kong, Moscow, and Washington, D.C.",این کتاب، ماجراهای خارق العاده «الکس» در جنگ جهانی دوم و پس از آن را در هند، پاکستان، مراکش، هنگ کنگ، مسکو و واشنگتن دی. سی. دنبال می کند.,Amazon
84471,A compelling and moving story of life and love.,داستانی باورپذیر و تکان دهنده درباره زندگی و عشق.,Unseen Library
76445,With complex and fascinating ideas.,با ایده هایی پیچیده و حیرت انگیز.,Publishers Weekly
76445,"A dense, lucid, and often unsettling exploration of how our brains interpret the world.",کاوشی متراکم، گویا و اغلب تشویش آور در مورد این که مغز ما چگونه جهان را تفسیر می کند.,Kirkus Reviews
76445,It dares us to question everything we thought we knew about the world.,این کتاب ما را ترغیب می کند تا تمام چیزهایی را که فکر می کردیم در مورد جهان می دانیم، زیر سوال ببریم.,Barnes & Noble
94156,Roger Farmer offers a new diagnosis for what ails the economy.,راجر فارمر تشخیص جدیدی را برای مشکلات اقتصادی ارائه می دهد.,"box and reach for new solutions.""--Greg Mankiw"
94156,This is an important policy proposal from a top thinker. Farmer balances the traditions of Hayek and Keynes to formulate a new way to stabilize the economy-and to solidify society's confidence about its future prospects.,این یک پیشنهاد سیاست مهم از یک متفکر برتر است. فارمر سنت های هایک و کینز را متعادل می کند تا راه جدیدی برای تثبیت اقتصاد و تقویت اعتماد جامعه در مورد چشم اندازهای آینده آن تدوین کند.,Simon Johnson
864,A stylistic tour de force.,شاهکاری در سبک نگارش.,Barnes & Noble
864,"It is one of those masterpieces that change the way you see other books, forever.",این کتاب از آن دست شاهکارهایی است که بینش تان نسبت به دیگر کتاب ها را برای همیشه عوض می کند.,Guardian
864,"Gogol was a strange creature, but then genius is always strange.",گوگول، موجود عجیبی بود، اما نبوغ همیشه عجیب است.,Vladimir Nabokov
55345,"Pamela Karimi’s Domesticity and Consumer Culture in Iran is a thought-provoking examination of the intersection of domestic architecture, consumerism, and the social transformation of taste in twentieth-century Iran.",زندگی خانگی و فرهنگ مصرفی در ایران اثر پاملا کریمی، بررسی تأمل برانگیزی از تلاقی معماری داخلی، مصرف گرایی و دگرگونی اجتماعی سلیقه در ایران قرن بیستم است.,Traditional Dwellings and Settlements Review
55345,The modern and contemporary history of Iran has been seen more from political and ideological perspectives. Domesticity and Consumer Culture in Iran: Interior Revolutions of the Modern Era is an insightful and brilliant response to the gap in scholarship.,تاریخ مدرن و معاصر ایران بیشتر از منظر سیاسی و ایدئولوژیک دیده شده است. زندگی خانگی و فرهنگ مصرفی در ایران: انقلاب های داخلی در عصر مدرن، پاسخی روشن بینانه و درخشان به شکاف تحقیقاتی است.,Journal of Design History
11807,Call Pilkey the savior of the reluctant reader.,پیلکی را نجات دهنده ی مخاطبین بی میل بنامید.,USA Today
11807,So appealing that youngsters won't notice that their vocabulary is stretching.,آنقدر جذاب که کودکان متوجه نخواهند شد که دایره ی واژگان شان در حال گسترش است.,School Library Journal
11807,It celebrates the triumph of the good-hearted.,این اثر، پیروزی افراد خوش قلب را گرامی می دارد.,The Educational Book and Media Association
16760,Built around the exciting and timely theme of revolutionary-turned-tyrant.,این کتاب حول موضوع هیجان انگیز و به روز انقلابی که منجر به دیکتاتوری شد نوشته شده است.,New York Times Book Review
16760,Woven into the story is a complete history and geography of the Caribbean,تاریخ و جغرافیای کاملی از کارائیب که در داستان بافته شده است.,Times Literary Supplement
